duration,rms_mean,rms_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,chroma_std_mean,label,source
0.064,0.0036889787,0.00043281648,878.4186244551801,1616.5755578779929,0.004354401,0.0020926339285714285,-598.7016,119.99114,34.549595,16.099863,2.7848535,4.590216,7.5668707,11.122695,11.197754,12.669215,11.788576,8.803644,3.478291,0.13298494,sb,23M74M
0.064,0.0065311743,0.00097157445,840.6338536499009,1607.2461413223111,0.0034277663,0.004743303571428571,-566.603,114.85287,28.998386,17.372292,6.2220564,6.5767546,8.134942,10.346068,12.024714,12.778668,11.640745,8.706884,5.058463,0.09354768,sb,23M74M
0.067125,0.0017327633,0.0002638653,681.1894249641217,1430.8681143666768,0.0010192477,0.010881696428571428,-704.2479,127.1082,35.66087,2.113812,2.2898374,19.594296,15.132083,10.40371,11.010438,21.416677,20.388517,15.00044,1.7625762,0.19752735,sb,23M74M
0.249625,0.0056192703,0.001832074,385.9943536162981,1056.3251195971009,0.0004764516,0.0050390625,-689.6043,136.94469,50.737183,25.081615,16.325953,11.443978,5.255273,10.57224,8.3805275,12.199336,11.475158,15.284345,7.6277514,0.10188527,mb,23M74M
0.064,0.0041802344,0.0014653914,621.6957336392188,1331.9392591964393,0.0012483817,0.0006975446428571429,-690.9518,133.6696,53.592354,27.586077,3.8256013,-2.3724551,-4.8224597,4.168346,6.727811,11.165751,8.425593,8.123557,-0.41531515,0.081183754,sb,23M74M
0.684375,0.0081506,0.003206154,364.6194609305966,759.9199475550442,0.00014368186,0.014138926630434782,-667.73553,190.5059,85.110664,18.164837,-11.168108,-8.983639,-2.7312174,4.815144,2.068547,6.5851693,5.7004614,3.9028418,-3.0002458,0.18145049,mb,23M74M
0.1851875,0.005084081,0.0011594067,417.1692600875252,1092.2289826996277,0.0006164206,0.004934210526315789,-711.3067,137.67989,71.73341,31.430302,3.5247405,2.4027712,2.7129207,9.404101,7.199063,12.001463,9.362116,8.620923,2.1729126,0.111293755,mb,23M74M
0.169125,0.003663686,0.0016546545,439.3292650625147,1201.4907760361184,0.00033593268,0.006089154411764706,-745.68604,118.16958,66.45633,33.066288,9.563845,4.363743,4.305994,14.866493,15.66412,19.758444,13.442522,10.357905,1.2615968,0.20234662,mb,23M74M
0.0831875,0.004684385,0.002418657,695.0590665605889,1459.7761923747707,0.0032383774,0.0013020833333333333,-668.87524,117.12601,49.141117,26.450924,10.4322405,7.4109235,8.001515,11.943135,12.076133,11.911482,5.720592,3.3492916,0.7206445,0.10854689,sb,23M74M
0.257625,0.0048031164,0.0016971795,424.3487424847383,1178.9429554075755,0.00035014696,0.004432091346153846,-729.5483,114.188934,51.181053,26.60382,19.646893,19.972591,14.50635,13.893646,9.520943,13.938954,10.087788,10.249068,2.172315,0.104673035,mb,23M74M
0.2361875,0.0047955797,0.0017657959,456.23525479873905,1260.38684243305,0.0005655997,0.00439453125,-726.78424,103.14944,63.402725,45.572002,26.795692,16.799261,7.7585754,9.585964,8.417237,12.634837,8.324132,7.6886077,3.792773,0.115285315,mb,23M74M
0.096625,0.0051197065,0.0019013677,430.8261097336514,1166.0275525438506,0.00057626405,0.005859375,-714.74,124.0334,64.68028,39.18864,14.034561,7.1435194,4.66784,5.4116173,10.264618,11.43899,11.449974,8.767797,2.9369664,0.09885787,mb,23M74M
0.0778125,0.005437099,0.0015538714,680.657392906996,1345.1943414025582,0.0027734605,0.001953125,-623.16907,139.47388,33.626938,5.782854,2.7353864,6.606139,3.726078,5.990627,12.084135,17.453182,14.113382,10.526046,2.1770415,0.19767614,sb,23M74M
0.1341875,0.0033744413,0.0007835403,588.5391914478115,1265.390196855848,0.0017136986,0.005580357142857143,-706.04877,130.76785,49.4219,18.550627,7.682453,7.0458426,2.920175,3.3993576,8.117951,19.158705,14.795337,12.066566,4.1196375,0.2073204,mb,23M74M
0.1288125,0.005093641,0.0018498772,435.4434124618863,1198.2223530660149,0.00054049626,0.00037560096153846156,-719.79095,115.30212,55.20726,27.593801,9.31009,6.7567906,5.9249954,14.008596,13.945247,20.664774,19.91219,12.437319,3.5924344,0.12101532,mb,23M74M
0.064375,0.0030468549,0.00036788548,699.0969334793016,1416.3505985353388,0.003655078,0.007672991071428571,-651.8302,132.63075,38.909893,9.30025,6.809903,14.96172,14.856842,12.02249,5.8332467,8.800628,9.230411,9.241814,5.6402903,0.08095966,sb,23M74M
0.064,0.00655377,0.001978627,1064.879281993695,1810.573238898153,0.007010624,0.004185267857142857,-525.92523,102.87746,17.37322,20.573263,18.50879,14.126389,9.859453,12.406141,10.982483,5.4797034,4.6853976,7.7850327,6.5262494,0.084451385,sb,23M74M
0.064375,0.0056977645,0.0020171388,631.413957619975,1448.8379017044642,0.0011534488,0.0015345982142857143,-645.45984,111.944016,40.132317,19.743593,7.460147,7.58744,6.057462,13.805179,16.402546,21.345886,17.478182,11.677386,4.7866464,0.060279418,sb,23M74M
0.136875,0.0036809163,0.0010163892,606.3390706063512,1429.2032408506732,0.0013960999,0.008021763392857142,-688.48444,102.626724,45.010277,34.915462,18.478777,5.531884,2.5892293,18.066061,19.963903,17.74805,13.9375105,16.045399,6.8054357,0.15193173,mb,23M74M
0.067125,0.00883099,0.0027950965,664.6273055745116,1398.3194528072218,0.0031154915,0.005580357142857143,-626.65643,109.3924,44.66177,37.219177,24.085276,17.09683,8.693095,6.764339,5.1629944,5.909393,5.592685,5.9458766,6.072879,0.084679075,sb,23M74M
0.064,0.0053936797,0.0007702577,816.7754577985369,1613.5396995856277,0.0026915695,0.0006975446428571429,-595.6006,104.03217,15.075809,24.164307,24.233454,15.80964,9.205314,7.3468404,7.489913,11.542038,11.497665,6.7724233,2.1363263,0.08670741,sb,23M74M
0.064,0.007770166,0.001556225,572.3507759966286,1368.9978382615889,0.0010005874,0.0005580357142857143,-624.5248,114.03213,36.58045,22.797306,10.31091,7.376824,8.172397,12.64374,12.745216,12.02823,8.301669,7.1070185,3.863255,0.053261343,sb,23M74M
0.9823125,0.0072697937,0.0038691566,356.9766381388682,963.4052180395925,0.0002815483,0.007743450126262626,-708.50275,141.8472,61.14606,16.51272,1.2716246,6.0491705,13.079317,18.373558,17.86697,21.503115,14.999317,8.653552,-1.3039733,0.18293507,mb,23M74M
3.3064375,0.008213205,0.004376284,259.0422340626587,912.0408045652131,7.592084e-05,0.0046231825906344415,-749.9076,111.524925,73.9776,47.77846,28.45764,16.132175,9.651919,9.479255,7.981715,7.897129,5.5376277,4.0461793,1.7201008,0.2742029,h,23M74M
0.126125,0.00892352,0.0037508963,350.4078820024628,973.3366531944865,0.0009009024,0.004356971153846154,-701.2988,140.58061,50.870903,22.205824,14.128404,13.465128,10.034302,14.07379,9.05725,4.6714106,1.5943043,1.7161447,-0.62038666,0.15410797,mb,23M74M
0.2013125,0.007287398,0.0012462301,346.6182185343021,1005.8324860686319,0.00030549127,0.002650669642857143,-696.59424,131.12305,63.389202,36.206062,20.218948,12.896095,2.5715525,5.9127717,0.4717589,1.5462362,-0.36074466,3.4979985,1.5378942,0.20930628,mb,23M74M
0.064375,0.0058339834,0.0007262318,394.3074760644778,1055.914113778986,0.00032505678,0.0027901785714285715,-663.8334,142.81013,40.338825,17.928646,18.737509,20.17331,8.937037,5.8968625,1.565349,-1.6778316,-6.3532195,-2.5812087,-1.0622913,0.07263785,sb,23M74M
0.064375,0.008697732,0.0011426923,574.8329308770277,1205.3572987864513,0.0017146878,0.004185267857142857,-591.7816,140.2317,59.08913,41.06652,24.164974,18.212471,13.4143305,11.4693365,9.147712,6.9155493,1.6746396,-1.8965462,-5.694405,0.07667141,sb,23M74M
0.1180625,0.011157248,0.0053555737,404.50442157872294,1050.1276662541952,0.00044813845,0.0030924479166666665,-658.7555,133.91606,50.278683,17.540806,-4.602344,-8.146235,0.09120544,18.587343,21.755196,19.45294,17.083933,9.213105,4.078593,0.15024118,mb,23M74M
1.0225,0.006583998,0.0037055414,316.4347307980296,895.0384236775246,0.0002964735,0.008144341626213593,-723.4409,142.92471,88.24381,50.507267,22.164549,7.4481087,-0.085288815,1.5804247,0.76921594,3.1943204,1.2513348,-0.73386097,-6.067365,0.25348374,h,23M74M
0.1288125,0.011695622,0.0050472794,457.02997248819145,955.8318904723736,0.0008714661,0.008413461538461538,-596.0375,175.24951,58.546055,17.460182,0.25693667,-7.2880554,-6.939905,3.5433333,5.865666,10.80947,8.930157,-5.6080914,-12.4109535,0.19477159,mb,23M74M
0.064,0.004261147,0.00059361715,581.1946937288631,1348.8054441590266,0.00080141734,0.004185267857142857,-645.15375,128.10503,40.900787,18.632746,5.3796105,5.3683896,8.849867,15.107598,15.54464,13.664518,4.914635,4.059602,-0.027301107,0.09994585,sb,23M74M
0.064,0.0017506743,0.0004300693,842.5462924012445,1480.3270323562067,0.009741236,0.015904017857142856,-650.07245,135.06624,53.962696,31.836843,12.968002,2.236519,-3.5746136,-2.7243378,1.0888296,8.022412,5.9109793,2.7826233,-4.386024,0.18220572,sb,23M74M
0.204,0.005204726,0.0013827193,353.7078762667102,992.8579500845162,0.00027591368,0.004929315476190476,-720.8827,142.8741,82.04594,42.6492,7.2095404,0.28911403,-1.4415921,6.7659645,7.208518,12.31647,6.759813,4.668853,-7.5671597,0.23063688,mb,23M74M
0.067125,0.007528008,0.0019268435,783.49156077111,1551.4893948962524,0.0031714796,0.0013950892857142857,-579.9749,111.49296,34.43042,26.159533,18.167875,15.734888,8.152212,5.7633934,6.251493,11.499892,12.923942,9.281374,4.568844,0.05316828,sb,23M74M
0.064,0.00784984,0.0013195421,673.4090061564518,1453.1384204313458,0.0016422273,0.0005580357142857143,-596.92816,117.171585,33.317204,21.006704,14.278443,12.991631,6.9019136,2.2980454,4.381079,10.999075,12.6299,10.522204,5.2583094,0.05732153,sb,23M74M
1.7713125,0.008011309,0.0048449812,287.88729570301564,942.6648993923017,0.00012788801,0.007505266853932584,-745.2263,118.73517,77.34835,48.226334,28.855518,17.941944,9.423073,7.3737555,5.368903,6.198984,1.9956231,1.4060391,-2.1829855,0.2819456,h,23M74M
0.1341875,0.009877064,0.004043396,464.9947943399126,1051.2548366051371,0.0016097167,0.00439453125,-652.7394,148.09396,65.51382,25.58988,2.0777702,-2.649285,-2.5590289,5.5147223,11.578433,19.320145,13.1691065,5.1244206,-1.1388433,0.12891023,mb,23M74M
0.064,0.015357488,0.0024500214,403.13701037214014,1053.4056311794907,0.0006289118,0.0030691964285714285,-615.39545,134.10042,53.844418,29.42893,13.908903,10.673553,12.362571,13.995397,11.905602,10.343804,2.7415853,2.8422854,0.47514698,0.058559418,sb,23M74M
0.0724375,0.011726201,0.0020041247,505.07507917443746,1199.8699559270774,0.0007368185,0.0,-598.6252,140.24469,40.840042,14.668543,9.326891,13.164549,8.81634,5.792828,4.3140917,11.383654,7.764224,3.2353024,-1.8337406,0.11138651,sb,23M74M
0.064,0.0054100757,0.00067034917,794.196033314839,1540.3724731440982,0.003313814,0.0034877232142857145,-580.8061,119.89808,22.507936,17.356504,19.876734,16.221996,5.0641856,9.082756,12.244304,9.904039,2.0965362,1.277059,1.1908706,0.13221505,sb,23M74M
